dataset,table,ordinal,field,rows,null_rows,null_percent,approx_distinct,min_length,max_length,dictionary_present,declared_data_type,declared_primary_key
Land Registry,land_registry,18,pre_registration_number,263663,143732,54.513527,114332,1,46,True,NVARCHAR2(100),False
Land Registry,land_registry,19,project_id,263663,170388,64.623402,2915,1,10,True,NUMBER(10),False
Land Registry,land_registry,20,project_name_ar,263663,170390,64.62416,3756,2,141,True,VARCHAR2(200),False
Land Registry,land_registry,21,project_name_en,263663,170390,64.62416,3198,2,78,True,VARCHAR2(200),False
Land Registry,land_registry,22,property_id,263663,0,0.0,274062,5,10,True,NUMBER(10),True
Land Registry,land_registry,23,property_sub_type_ar,263663,43082,16.339797,66,3,37,True,NVARCHAR2(50),False
Land Registry,land_registry,24,property_sub_type_en,263663,43082,16.339797,60,4,50,True,NVARCHAR2(50),False
Land Registry,land_registry,25,property_sub_type_id,263663,43082,16.339797,66,1,3,True,NUMBER(4),False
Land Registry,land_registry,26,property_type_ar,263663,0,0.0,1,3,3,True,NVARCHAR2(50),False
Land Registry,land_registry,27,property_type_en,263663,0,0.0,1,4,4,True,NVARCHAR2(50),False
Land Registry,land_registry,28,property_type_id,263663,0,0.0,1,1,1,True,NUMBER(4),False
Land Registry,land_registry,29,separated_from,263663,152698,57.91408,1793,6,10,True,NUMBER(10),False
Land Registry,land_registry,30,separated_reference,263663,138910,52.684677,1155,7,10,True,NUMBER(10),False
Land Registry,land_registry,31,zone_id,263663,0,0.0,2,1,1,True,NUMBER(4),False
Land Registry,land_registry,32,load_timestamp,263663,0,0.0,1,23,23,False,,False
Licenced Owner Associations,owner_associations,1,company_name_ar,110,0,0.0,103,19,88,True,nvarchar,True
Licenced Owner Associations,owner_associations,2,company_name_en,110,0,0.0,110,19,92,True,nvarchar,True
Licenced Owner Associations,owner_associations,3,email,110,1,0.909091,116,9,37,True,nvarchar,True
Licenced Owner Associations,owner_associations,4,latitude,110,2,1.818182,33,5,5,True,numeric,True
Licenced Owner Associations,owner_associations,5,longitude,110,2,1.818182,24,5,5,True,numeric,True
Licenced Owner Associations,owner_associations,6,phone,110,8,7.272727,89,11,11,True,nvarchar,True
Licenced Owner Associations,owner_associations,7,load_timestamp,110,0,0.0,1,23,23,False,,False
Licensed Real Estate Valuators,valuators,1,gender_ar,153,0,0.0,2,3,4,True,nvarchar,False
Licensed Real Estate Valuators,valuators,2,gender_en,153,0,0.0,2,4,4,True,nvarchar,False
Licensed Real Estate Valuators,valuators,3,gender_id,153,0,0.0,2,1,1,True,number,False
Licensed Real Estate Valuators,valuators,4,license_end_date,153,0,0.0,87,10,10,True,nvarchar,False
Licensed Real Estate Valuators,valuators,5,license_start_date,153,0,0.0,142,10,10,True,nvarchar,False
Licensed Real Estate Valuators,valuators,6,valuation_company_name_ar,153,0,0.0,75,14,75,True,nvarchar,False
Licensed Real Estate Valuators,valuators,7,valuation_company_name_en,153,0,0.0,87,19,81,True,nvarchar,False
Licensed Real Estate Valuators,valuators,8,valuation_company_number,153,0,0.0,80,3,5,True,number,True
Licensed Real Estate Valuators,valuators,9,valuator_name_ar,153,0,0.0,140,8,53,True,nvarchar,False
Licensed Real Estate Valuators,valuators,10,valuator_name_en,153,0,0.0,137,8,68,True,nvarchar,False
Licensed Real Estate Valuators,valuators,11,valuator_nationality_ar,153,0,0.0,42,3,24,True,nvarchar,False
Licensed Real Estate Valuators,valuators,12,valuator_nationality_en,153,0,0.0,40,4,20,True,nvarchar,False
Licensed Real Estate Valuators,valuators,13,valuator_nationality_id,153,0,0.0,37,1,3,True,number,False
Licensed Real Estate Valuators,valuators,14,valuator_number,153,0,0.0,146,4,5,True,number,True
Licensed Real Estate Valuators,valuators,15,load_timestamp,153,0,0.0,1,23,23,False,,False
Lookup Dubai Community Areas,areas,1,area_id,301,0,0.0,305,6,6,True,numeric,True
Lookup Dubai Community Areas,areas,2,municipality_number,301,0,0.0,285,1,3,True,nvarchar,False
Lookup Dubai Community Areas,areas,3,name_ar,301,0,0.0,296,3,26,True,nvarchar,False
Lookup Dubai Community Areas,areas,4,name_en,301,0,0.0,293,4,33,True,nvarchar,False
Lookup Dubai Community Areas,areas,5,load_timestamp,301,0,0.0,1,23,23,False,,False
Lookup Real Estate Market Types,market_types,1,market_type_id,2,0,0.0,2,4,4,True,numeric,True
Lookup Real Estate Market Types,market_types,2,name_ar,2,0,0.0,2,12,13,True,nvarchar,False
Lookup Real Estate Market Types,market_types,3,name_en,2,0,0.0,2,14,16,True,nvarchar,False
Lookup Real Estate Market Types,market_types,4,load_timestamp,2,0,0.0,1,23,23,False,,False
Lookup Real Estate Transactions Groups,transaction_groups,1,group_id,3,0,0.0,3,4,4,True,numeric,True
Lookup Real Estate Transactions Groups,transaction_groups,2,name_ar,3,0,0.0,3,4,7,True,nvarchar,False
Lookup Real Estate Transactions Groups,transaction_groups,3,name_en,3,0,0.0,3,5,9,True,nvarchar,False
Lookup Real Estate Transactions Groups,transaction_groups,4,load_timestamp,3,0,0.0,1,23,23,False,,False
Lookup Real Estate Transactions Procedures,transaction_procedures,1,group_id,64,0,0.0,3,4,4,True,numeric,True
Lookup Real Estate Transactions Procedures,transaction_procedures,2,is_pre_registration,64,0,0.0,2,4,4,True,numeric,False
Lookup Real Estate Transactions Procedures,transaction_procedures,3,name_ar,64,0,0.0,70,3,40,True,nvarchar,False
Lookup Real Estate Transactions Procedures,transaction_procedures,4,name_en,64,0,0.0,68,4,48,True,nvarchar,False
Lookup Real Estate Transactions Procedures,transaction_procedures,5,procedure_id,64,0,0.0,65,4,6,True,numeric,False
Lookup Real Estate Transactions Procedures,transaction_procedures,6,load_timestamp,64,0,0.0,1,23,23,False,,False
Owners Association Service Charges,service_charges,1,budget_year,91193,0,0.0,6,4,4,True,numeric,True
Owners Association Service Charges,service_charges,2,management_company_id,91193,0,0.0,91,5,9,True,numeric,False
Owners Association Service Charges,service_charges,3,management_company_name_ar,91193,0,0.0,79,19,70,True,nvarchar,False
Owners Association Service Charges,service_charges,4,management_company_name_en,91193,0,0.0,85,19,79,True,nvarchar,False
Owners Association Service Charges,service_charges,5,master_community_id,91193,0,0.0,66,1,3,True,numeric,True
Owners Association Service Charges,service_charges,6,master_community_name_ar,91193,0,0.0,58,4,43,True,nvarchar,False
